i,j,shared_len
279,1298,12.01354256097609
279,1358,17.861030170423724
279,58,3.0032799447640315
279,993,0
279,1044,0
280,1351,43.41658669218482
280,1013,0
281,32,0
281,490,57.74049282957448
281,449,97.88208550828979
281,763,7.702891928505927
281,743,4.743357650960235
281,1225,52.667705267431124
281,1338,21.697028246827937
281,729,3.1739236184573194
281,160,15.510035335528364
282,1509,35.80033863869512
282,1508,40.72948755456629
282,1371,10.57716758489165
282,1492,0.003042198994883245
283,420,37.01003550009115
283,422,23.72191640148843
283,480,18.465864438446093
283,406,0.0010390936983646537
283,421,9.18441165973896
283,353,0.005482417658722081
284,1191,50.034754051709776
284,1068,54.12681662692022
284,1034,0
285,96,4.978244315479447
285,241,47.49157017064837
285,334,0.003282453898255015
286,1283,164.64742399138566
286,106,0
287,295,0
287,1353,27.294688127912362
288,119,0
288,937,113.3225485064645
288,39,0
289,626,124.40663347810093
289,944,0
289,634,24.041630560342615
289,1591,0
290,512,18.55054744550195
290,689,8.239838282438846
290,982,27.944566832680035
290,555,19.091384994973268
290,752,12.968263843011716
290,695,7.144992405426778
290,1099,8.625554547980512
290,1276,0
291,248,52.20153254455275
291,1003,0
292,1615,60.55035469135212
292,1443,2.011274327248737
292,1403,193.31211319289855
292,987,0
292,801,51.46541223861123
292,1506,2.0462887256667015
293,1460,0
293,869,75.07329751649384
293,839,4.313351365262635
294,1414,16.6883334751321
295,1299,26.09326603854334
295,465,78.4683625691663
296,1085,66.4196416732465
297,619,18.825273836156
297,1007,17.122065896563193
297,1321,0
297,1229,22.2507462866037
297,1190,0.005148046422256596
298,311,55.73565915687823
299,86,83.9111562688386
300,133,29.991759584624855
301,44,49.959405412193945
301,192,0
302,33,2.1727268132907644
302,1166,32.86294754453179
302,135,1.171470217296897
302,620,11.768851934826433
302,542,79.33195146638664
303,926,108.30050784737807
303,62,0
303,1231,0
304,843,0.002263706405310748
304,1421,81.3703617000543
304,1606,138.07915906939155
304,637,34.064188229077864
304,825,67.36912948217457
304,340,63.105053467075315
304,1438,39.39063579651261
304,1182,19.923065013322663
304,927,43.03450230196927
305,160,11.90502830363047
306,1031,5.16694608820905
306,1077,0
306,306,35.210753312883206
306,1324,0
307,77,0
307,321,60.207972893961475
307,269,0
308,1047,97.13174251433296
308,318,0
308,1214,63.84561681647098
309,66,71.40714052384385
309,546,0.0051560780872452
310,310,72.42237223399962
310,1236,0
310,1325,0
310,1120,6.583852021252527
311,1460,58.638984916807544
311,33,0
311,869,0
312,776,4.928582061537444
312,600,29.755592705936607
312,1364,57.75727869416286
312,1164,NA
312,739,NA
312,1006,NA
312,669,21.648819676418285
312,1058,26.09438727309339
312,1464,0
313,329,98.68068877874457
313,194,40.060078751132096
313,841,0
314,893,31.543094143833578
315,1454,0
315,780,45.599072777241254
315,959,5.648792842762697
315,1103,17.64762921249309
315,171,0
316,1623,28.309168933915707
316,1398,0
316,1602,23.454520397852974
316,1625,2.8137608262838993
317,343,58.740598239671314
317,474,33.291214334022555
317,414,79.65259351563088
318,1257,145.85418552592915
318,1442,0
319,1306,0
319,914,74.166744569248
320,413,23.421128141977356
320,349,7.869439833595401
321,49,0
321,1154,45.60701700396552
321,980,0
322,1632,0
322,977,23.878543811238334
322,397,35.174129555806445
323,391,0
323,389,36.4168148170251
323,428,28.82182344103873
323,887,0
324,1113,6.8069616527712995
324,167,0
324,1430,73.02465143166602
325,989,0
325,1329,44.570493890244606
326,1462,28.560156176196074
327,260,72.61542535852834
327,290,38.651778743050045
328,161,0
328,578,30.606154535578142
328,983,20.589548564107506
328,1115,0
329,192,33.421549934136806
329,44,0
330,265,35.27550897351194
330,1038,18.806503289301894
330,67,3.46317653785751
330,984,9.992813137436492
330,574,0
330,734,3.1351710558959383
331,898,0
331,1284,44.643028652004894
331,1246,0
332,1650,0
332,1028,52.201532615332745
332,378,31.602450972381867
332,379,19.56213886269851
332,380,11.47308951588017
332,381,48.991069136186404
332,459,32.038923430607575
332,6,0
332,497,28.922266196686188
333,6,22.20360335226569
333,497,0
333,1168,0
334,333,0
334,113,88.32326986700616
335,289,56.23135528908102
336,319,162.3952375941042
336,110,0
337,1,18.82989217189209
337,188,3.9734703828502416
338,169,7.147090317008743
338,281,0
338,170,2.23606797749979
339,1151,52.86226504497742
339,296,0
339,711,36.99213352684601
340,1106,100.45246266973224
341,1215,20.734961523469586
341,235,12.50823669020583
341,226,9.269765331155025
341,1288,32.79082965005026
341,223,8.773446893737248
341,237,62.097339866302335
341,236,8.818476558948202
341,68,9.766780425079322
341,162,13.87258452198749
341,371,10.381753863853275
341,578,0
341,1115,62.48367665789138
341,576,23.15625468158946
341,202,15.160672712296206
341,69,10.010162308129269
341,75,47.55730030361828
341,224,10.41517353830161
341,1207,8.103302629179648
341,952,9.952807653532542
341,227,7.728448916650447
342,913,40.328200966934205
342,918,0
343,210,53.088883228358746
343,943,46.238512086787566
344,1184,0
344,1177,37.75043680336644
344,1394,9.016665125255336
345,302,80.82265714466504
346,908,0
346,1218,77.4919350642375
346,801,0
347,1173,82.6349291015302
347,1073,12.008327992003851
347,281,5.147534237823876
347,76,0.009859074019429233
348,570,0
348,972,15.101528346786166
349,1538,0.001038391748119246
